name,netid,department,fingerprints,projects,research,citations,h_index,similar,picture,URL,classes
Mala Murthy,mmurthy,MOL,"[['Drosophila', '100%'], ['Music', '58%'], ['Courtship', '51%'], ['Neurons', '27%'], ['Acoustics', '24%'], ['Diptera', '23%'], ['Brain', '15%'], ['Mushroom Bodies', '12%']]","[['Uncovering the Neural Mechanisms that Flexibly Link Sensory Processing to Behavior', 'https://collaborate.princeton.edu/en/projects/uncovering-the-neural-mechanisms-that-flexibly-link-sensory-proce'], ['Dissecting Sensorimotor Pathways Underlying Social Interactions: Models, Circuits, and Behavior', 'https://collaborate.princeton.edu/en/projects/dissecting-sensorimotor-pathways-underlying-social-interactions-m'], ['BRAIN EAGER: Closing the Loop on Social Behaviors, From Mathematical Models to Neural Circuit Dynamics', 'https://collaborate.princeton.edu/en/projects/brain-eager-closing-the-loop-on-social-behaviors-from-mathematica'], ['How Does the Brain Solve the Pattern Recognition Problem?', 'https://collaborate.princeton.edu/en/projects/how-does-the-brain-solve-the-pattern-recognition-problem'], ['Neural Signatures of Long-Term Memory', 'https://collaborate.princeton.edu/en/projects/neural-signatures-of-long-term-memory']]","[['Auditory activity is diverse and widespread throughout the central brain of Drosophila', 'https://collaborate.princeton.edu/en/publications/auditory-activity-is-diverse-and-widespread-throughout-the-centra'], ['Erratum: Experimental and statistical reevaluation provides no evidence for Drosophila courtship song rhythms (Proceedings of the National Academy of Sciences of the United States (2021) 114 (9978-9983) DOI: 10.1073/pnas.1707471114)', 'https://collaborate.princeton.edu/en/publications/erratum-experimental-and-statistical-reevaluation-provides-no-evi'], ['Author Correction: Unsupervised identification of the internal states that shape natural behavior (Nature Neuroscience, (2019), 22, 12, (2040-2049), 10.1038/s41593-019-0533-x)', 'https://collaborate.princeton.edu/en/publications/author-correction-unsupervised-identification-of-the-internal-sta'], ['Quantifying behavior to understand the brain', 'https://collaborate.princeton.edu/en/publications/quantifying-behavior-to-understand-the-brain']]",1690,20,"[['Joshua William Shaevitz', 'https://collaborate.princeton.edu/en/persons/joshua-william-shaevitz'], ['David W. Tank', 'https://collaborate.princeton.edu/en/persons/david-w-tank'], ['Samuel Sheng-Hung Wang', 'https://collaborate.princeton.edu/en/persons/samuel-sheng-hung-wang'], ['Asif A. Ghazanfar', 'https://collaborate.princeton.edu/en/persons/asif-a-ghazanfar'], ['Andrew Michael Leifer', 'https://collaborate.princeton.edu/en/persons/andrew-michael-leifer'], ['Carlos D. Brody', 'https://collaborate.princeton.edu/en/persons/carlos-d-brody'], ['Julien F. Ayroles', 'https://collaborate.princeton.edu/en/persons/julien-f-ayroles'], ['Jonathan William Pillow', 'https://collaborate.princeton.edu/en/persons/jonathan-william-pillow'], ['H. Sebastian Seung', 'https://collaborate.princeton.edu/en/persons/h-sebastian-seung'], ['Alan Gelperin', 'https://collaborate.princeton.edu/en/persons/alan-gelperin'], ['William Bialek', 'https://collaborate.princeton.edu/en/persons/william-bialek'], ['Catherine Jensen Pena', 'https://collaborate.princeton.edu/en/persons/catherine-jensen-pena']]",https://collaborate.princeton.edu//files-asset/48147021/Murthy.jpg,https://collaborate.princeton.edu/en/persons/mala-murthy,"['NEU 511', 'NEU 301']"
Cameron A. Myhrvold,cmyhrvol,MOL,"[['Clustered Regularly Interspaced Short Palindromic Repeats', '100%'], ['DNA', '73%'], ['Nucleic Acids', '72%'], ['Nanostructures', '67%'], ['RNA', '62%'], ['deoxyribonucleic acid', '35%'], ['DNA Structure', '34%'], ['Lassa virus', '31%']]",[],"[['Phylogenetic analysis of SARS-CoV-2 in Boston highlights the impact of superspreading events', 'https://collaborate.princeton.edu/en/publications/phylogenetic-analysis-of-sars-cov-2-in-boston-highlights-the-impa'], ['Deployable CRISPR-Cas13a diagnostic tools to detect and report Ebola and Lassa virus cases in real-time', 'https://collaborate.princeton.edu/en/publications/deployable-crispr-cas13a-diagnostic-tools-to-detect-and-report-eb'], ['Massively multiplexed nucleic acid detection with Cas13', 'https://collaborate.princeton.edu/en/publications/massively-multiplexed-nucleic-acid-detection-with-cas13'], ['Streamlined inactivation, amplification, and Cas13-based detection of SARS-CoV-2', 'https://collaborate.princeton.edu/en/publications/streamlined-inactivation-amplification-and-cas13-based-detection-'], ['Author Correction: Diverse and robust molecular algorithms using reprogrammable DNA self-assembly (Nature, (2019), 567, 7748, (366-372), 10.1038/s41586-019-1014-9)', 'https://collaborate.princeton.edu/en/publications/author-correction-diverse-and-robust-molecular-algorithms-using-r']]",1658,12,"[['Jared E. Toettcher', 'https://collaborate.princeton.edu/en/persons/jared-e-toettcher'], ['Jodi Schottenfeld-Roames', 'https://collaborate.princeton.edu/en/persons/jodi-schottenfeld-roames'], ['Tom Muir', 'https://collaborate.princeton.edu/en/persons/tom-muir'], ['Ileana M. Cristea', 'https://collaborate.princeton.edu/en/persons/ileana-m-cristea'], ['Bridgett Marie vonHoldt', 'https://collaborate.princeton.edu/en/persons/bridgett-marie-vonholdt'], ['Mohammad R. Seyedsayamdost', 'https://collaborate.princeton.edu/en/persons/mohammad-r-seyedsayamdost']]",N/a,https://collaborate.princeton.edu/en/persons/cameron-a-myhrvold,[]
Satish Chandra Babu Myneni,smyneni,CEE,"[['Soil', '100%'], ['X Ray Absorption Spectroscopy', '92%'], ['organochlorine', '91%'], ['Environment', '87%'], ['spectroscopy', '83%'], ['absorption spectroscopy', '75%'], ['x rays', '75%'], ['coordination', '72%']]","[[""Collaborative Research: The Chemistry of Lignin's Photochemical Transformation in the Environment: Implications for Global Carbon Cycling"", 'https://collaborate.princeton.edu/en/projects/collaborative-research-the-chemistry-of-lignins-photochemical-tra'], ['Collaborative Research: Halocarbon Biogeochemistry in Coastal Wetland Ecosystems - Exploring the Transition from Forested Wetland to Salt Marsh', 'https://collaborate.princeton.edu/en/projects/collaborative-research-halocarbon-biogeochemistry-in-coastal-wetl'], ['Collaborative Research: Highly Reactive Thiol Binding Sites on Bacterial Cell Envelopes and their Influence on Metal Speciation in Aquatic Systems', 'https://collaborate.princeton.edu/en/projects/collaborative-research-highly-reactive-thiol-binding-sites-on-bac'], ['Role of Sulfhydryl Sites on Bacterial Cell Walls in the Biosorption, Mobility and Bioavailablility of Mercury', 'https://collaborate.princeton.edu/en/projects/role-of-sulfhydryl-sites-on-bacterial-cell-walls-in-the-biosorpti']]","[['Cellular Mercury Coordination Environment, and Not Cell Surface Ligands, Influence Bacterial Methylmercury Production', 'https://collaborate.princeton.edu/en/publications/cellular-mercury-coordination-environment-and-not-cell-surface-li'], ['Impact of bromide exposure on natural organochlorine loss from coastal wetland soils in the Winyah Bay, South Carolina', 'https://collaborate.princeton.edu/en/publications/impact-of-bromide-exposure-on-natural-organochlorine-loss-from-co'], ['Molecular heterogeneity in pyrogenic dissolved organic matter from a thermal series of oak and grass chars', 'https://collaborate.princeton.edu/en/publications/molecular-heterogeneity-in-pyrogenic-dissolved-organic-matter-fro'], ['Uptake and speciation of zinc in edible plants grown in smelter contaminated soils', 'https://collaborate.princeton.edu/en/publications/uptake-and-speciation-of-zinc-in-edible-plants-grown-in-smelter-c'], ['Chemistry of natural organic matter — The next step: Commentary on a humic substances debate', 'https://collaborate.princeton.edu/en/publications/chemistry-of-natural-organic-matter-the-next-step-commentary-on-a']]",5114,39,"[['Peter R. Jaffe', 'https://collaborate.princeton.edu/en/persons/peter-r-jaffe'], ['Tullis C. Onstott', 'https://collaborate.princeton.edu/en/persons/tullis-c-onstott'], ['Bess Ward', 'https://collaborate.princeton.edu/en/persons/bess-ward'], ['Ian Charles Bourg', 'https://collaborate.princeton.edu/en/persons/ian-charles-bourg'], ['Lars O. Hedin', 'https://collaborate.princeton.edu/en/persons/lars-o-hedin'], ['Curtis Gove Callan', 'https://collaborate.princeton.edu/en/persons/curtis-gove-callan']]",https://collaborate.princeton.edu//files-asset/48147045/Myneni.png?w=160&amp;f=jpg,https://collaborate.princeton.edu/en/persons/satish-chandra-babu-myneni,"['GEO 505', 'GEO 470', 'GEO 363']"
Assaf Naor,anaor,MAT,"[['Metric space', '100%'], ['Metric', '95%'], ['Lipschitz', '68%'], ['Banach space', '59%'], ['Expander', '41%'], ['Normed Space', '39%'], ['Euclidean', '37%'], ['Subset', '34%']]","[['NSF-BSF: The global geometry of graphs', 'https://collaborate.princeton.edu/en/projects/nsf-bsf-the-global-geometry-of-graphs']]","[['Impossibility of almost extension', 'https://collaborate.princeton.edu/en/publications/impossibility-of-almost-extension'], ['Concentration of Markov chains with bounded moments', 'https://collaborate.princeton.edu/en/publications/concentration-of-markov-chains-with-bounded-moments'], ['Impossibility of Dimension Reduction in the Nuclear Norm', 'https://collaborate.princeton.edu/en/publications/impossibility-of-dimension-reduction-in-the-nuclear-norm-2']]",3261,34,"[['Noga Mordechai Alon', 'https://collaborate.princeton.edu/en/persons/noga-mordechai-alon'], ['Sanjeev Arora', 'https://collaborate.princeton.edu/en/persons/sanjeev-arora'], ['Mark Braverman', 'https://collaborate.princeton.edu/en/persons/mark-braverman'], ['Chenyang Xu', 'https://collaborate.princeton.edu/en/persons/chenyang-xu'], ['Charles Louis Fefferman', 'https://collaborate.princeton.edu/en/persons/charles-louis-fefferman'], ['Paul Seymour', 'https://collaborate.princeton.edu/en/persons/paul-douglas-seymour']]",https://collaborate.princeton.edu//files-asset/48147057/Naor.jpg,https://collaborate.princeton.edu/en/persons/assaf-naor,[]
Karthik Narasimhan,karthikn,COS,"[['Reinforcement learning', '100%'], ['Reinforcement Learning', '50%'], ['Natural Language', '49%'], ['Semantics', '35%'], ['Information Extraction', '28%'], ['Language Model', '26%'], ['Domain Knowledge', '26%'], ['Navigation', '25%']]",[],"[['Evolving graphical planner: Contextual global planning for vision-and-language navigation', 'https://collaborate.princeton.edu/en/publications/evolving-graphical-planner-contextual-global-planning-for-vision-'], ['Multimodal graph networks for compositional generalization in visual question answering', 'https://collaborate.princeton.edu/en/publications/multimodal-graph-networks-for-compositional-generalization-in-vis']]",618,9,"[['Olga Russakovsky', 'https://collaborate.princeton.edu/en/persons/olga-russakovsky'], ['Jia Deng', 'https://collaborate.princeton.edu/en/persons/jia-deng'], ['Robert E. Schapire', 'https://collaborate.princeton.edu/en/persons/robert-e-schapire'], ['Mengdi Wang', 'https://collaborate.princeton.edu/en/persons/mengdi-wang'], ['Mark Braverman', 'https://collaborate.princeton.edu/en/persons/mark-braverman'], ['David I. August', 'https://collaborate.princeton.edu/en/persons/david-i-august'], ['Chi Jin', 'https://collaborate.princeton.edu/en/persons/chi-jin'], ['Ran Raz', 'https://collaborate.princeton.edu/en/persons/ran-raz'], ['Ravi Arun Netravali', 'https://collaborate.princeton.edu/en/persons/ravi-arun-netravali'], ['Jaime Fernandez Fisac', 'https://collaborate.princeton.edu/en/persons/jaime-fernandez-fisac'], ['Matt Weinberg', 'https://collaborate.princeton.edu/en/persons/matt-weinberg']]",https://collaborate.princeton.edu//files-asset/48147069/Narasimhan.jpg,https://collaborate.princeton.edu/en/persons/karthik-narasimhan,[]
Arvind Narayanan,arvindn,COS,"[['Bitcoin', '100%'], ['Cryptocurrency', '94%'], ['Websites', '61%'], ['Genetic Privacy', '43%'], ['Blockchain', '30%'], ['Cryptography', '28%'], ['Internet', '18%'], ['Privacy', '18%']]","[['CHS: Medium: Recognizing, Mitigating and Governing Bias in AI', 'https://collaborate.princeton.edu/en/projects/chs-medium-recognizing-mitigating-and-governing-bias-in-ai'], ['CHS:  Large:  Collaborative Research:  Pervasive Data Ethics for Computational Research', 'https://collaborate.princeton.edu/en/projects/chs-large-collaborative-research-pervasive-data-ethics-for-comput'], ['CAREER:  Measurement, Analysis, and Novel Application of Blockchains', 'https://collaborate.princeton.edu/en/projects/career-measurement-analysis-and-novel-application-of-blockchains'], ['TWC: Small: Ending the Web Privacy Arms Race: Threat Detection, Measurement and Response', 'https://collaborate.princeton.edu/en/projects/twc-small-ending-the-web-privacy-arms-race-threat-detection-measu'], ['TWC: Small: Addressing the Challenges of Cryptocurrencies: Security, Anonymity, Stability', 'https://collaborate.princeton.edu/en/projects/twc-small-addressing-the-challenges-of-cryptocurrencies-security-']]","[['Dark patterns', 'https://collaborate.princeton.edu/en/publications/dark-patterns'], ['Dark Patterns: Past, Present, and Future', 'https://collaborate.princeton.edu/en/publications/dark-patterns-past-present-and-future']]",5381,25,"[['Michael Joseph Freedman', 'https://collaborate.princeton.edu/en/persons/michael-joseph-freedman'], ['Prateek Mittal', 'https://collaborate.princeton.edu/en/persons/prateek-mittal'], ['Matt Weinberg', 'https://collaborate.princeton.edu/en/persons/matt-weinberg'], ['Sun-Yuan Kung', 'https://collaborate.princeton.edu/en/persons/sun-yuan-kung'], ['Janet Amelia Vertesi', 'https://collaborate.princeton.edu/en/persons/janet-amelia-vertesi'], ['Jonathan Mayer', 'https://collaborate.princeton.edu/en/persons/jonathan-mayer']]",https://collaborate.princeton.edu//files-asset/48147081/Narayanan.jpg,https://collaborate.princeton.edu/en/persons/arvind-narayanan,"['COS 432', 'COS 534']"
Christopher A. Neilson,cneilson,ECO,"[['Chile', '100%'], ['Academic Achievement', '77%'], ['Test Scores', '73%'], ['Administrative Data', '57%'], ['Student Loans', '54%'], ['capital formation', '52%'], ['Survey Data', '51%'], ['human capital', '47%']]","[['Biased Beliefs and Search in Education Markets', 'https://collaborate.princeton.edu/en/projects/biased-beliefs-and-search-in-education-markets']]","[['Heterogeneous beliefs and school choice mechanisms†', 'https://collaborate.princeton.edu/en/publications/heterogeneous-beliefs-and-school-choice-mechanisms'], ['Information frictions and access to the Paycheck Protection Program', 'https://collaborate.princeton.edu/en/publications/information-frictions-and-access-to-the-paycheck-protection-progr'], ['Health at birth, parental investments, and academic outcomes', 'https://collaborate.princeton.edu/en/publications/health-at-birth-parental-investments-and-academic-outcomes'], ['Gray matters: Fetal pollution exposure and human capital formation', 'https://collaborate.princeton.edu/en/publications/gray-matters-fetal-pollution-exposure-and-human-capital-formation'], ['(Un)informed college and major choice: Evidence from linked survey and administrative data', 'https://collaborate.princeton.edu/en/publications/uninformed-college-and-major-choice-evidence-from-linked-survey-a']]",224,7,"[['Pablo D. Fajgelbaum', 'https://collaborate.princeton.edu/en/persons/pablo-d-fajgelbaum'], ['Caio Ibsen Rodrigues de Almeida', 'https://collaborate.princeton.edu/en/persons/caio-ibsen-rodrigues-de-almeida'], ['Nicholas Wyeth Buchholz', 'https://collaborate.princeton.edu/en/persons/nicholas-wyeth-buchholz'], ['Arlene Wong', 'https://collaborate.princeton.edu/en/persons/arlene-wong'], ['Bryan T. Grenfell', 'https://collaborate.princeton.edu/en/persons/bryan-t-grenfell']]",https://collaborate.princeton.edu//files-asset/48852596/christopher_neilson_yale_small.jpg,https://collaborate.princeton.edu/en/persons/christopher-a-neilson,[]
Celeste M. Nelson,celesten,MOL,"[['Morphogenesis', '100%'], ['Epithelium', '44%'], ['Breast', '40%'], ['Extracellular Matrix', '28%'], ['Human Mammary Glands', '28%'], ['Epithelial-Mesenchymal Transition', '24%'], ['Breast Neoplasms', '22%'], ['Mechanics', '21%']]","[['The effects of intratumoral heterogeneity in triple-negative breast cancer on metastasis and chemotherapeutic response', 'https://collaborate.princeton.edu/en/projects/the-effects-of-intratumoral-heterogeneity-in-triple-negative-brea'], ['Understanding the Vangl2-mediated mechanisms of mesenchymal thinning during lung sacculation', 'https://collaborate.princeton.edu/en/projects/understanding-the-vangl2-mediated-mechanisms-of-mesenchymal-thinn'], ['Effects of matrix stiffness on cancer cell plasticity', 'https://collaborate.princeton.edu/en/projects/effects-of-matrix-stiffness-on-cancer-cell-plasticity'], ['Mechanical  Forces and the Regulation of Airway Progenitor Cells', 'https://collaborate.princeton.edu/en/projects/mechanical-forces-and-the-regulation-of-airway-progenitor-cells'], ['Mechanical Control of Smooth Muscle Differentiation During Mouse Lung Branching', 'https://collaborate.princeton.edu/en/projects/mechanical-control-of-smooth-muscle-differentiation-during-mouse-']]","[['Integrin-linked kinase tunes cell-cell and cell-matrix adhesions to regulate the switch between apoptosis and EMT downstream of TGFβ1', 'https://collaborate.princeton.edu/en/publications/integrin-linked-kinase-tunes-cell-cell-and-cell-matrix-adhesions-'], ['Interstitial Hypertension Suppresses Escape of Human Breast Tumor Cells Via Convection of Interstitial Fluid', 'https://collaborate.princeton.edu/en/publications/interstitial-hypertension-suppresses-escape-of-human-breast-tumor'], ['Local accumulation of extracellular matrix regulates global morphogenetic patterning in the developing mammary gland', 'https://collaborate.princeton.edu/en/publications/local-accumulation-of-extracellular-matrix-regulates-global-morph'], ['Matrix degradation and cell proliferation are coupled to promote invasion and escape from an engineered human breast microtumor', 'https://collaborate.princeton.edu/en/publications/matrix-degradation-and-cell-proliferation-are-coupled-to-promote-'], ['Mechanics of Development', 'https://collaborate.princeton.edu/en/publications/mechanics-of-development-2']]",11833,48,"[['Daniel Joseph Cohen', 'https://collaborate.princeton.edu/en/persons/daniel-joseph-cohen'], ['Yibin Kang', 'https://collaborate.princeton.edu/en/persons/yibin-kang'], ['Clifford Paul Brangwynne', 'https://collaborate.princeton.edu/en/persons/clifford-paul-brangwynne'], ['Robert Hamilton Austin', 'https://collaborate.princeton.edu/en/persons/robert-hamilton-austin'], ['Joshua William Shaevitz', 'https://collaborate.princeton.edu/en/persons/joshua-william-shaevitz'], ['Andrej Kosmrlj', 'https://collaborate.princeton.edu/en/persons/andrej-kosmrlj'], ['Laurel Lorenz', 'https://collaborate.princeton.edu/en/persons/laurel-lorenz'], ['Danelle Devenport', 'https://collaborate.princeton.edu/en/persons/danelle-devenport'], ['Olga G. Troyanskaya', 'https://collaborate.princeton.edu/en/persons/olga-g-troyanskaya']]",https://collaborate.princeton.edu//files-asset/48147093/Nelson.png?w=160&amp;f=jpg,https://collaborate.princeton.edu/en/persons/celeste-m-nelson,['CBE 262']
Evita Nestoridi,exn,MAT,"[['Mixing Time', '100%'], ['Random walk', '90%'], ['Shuffle', '84%'], ['Random Walk', '67%'], ['Urn model', '56%'], ['Lower Bounds', '52%'], ['Walk', '46%'], ['Markov Chain', '34%']]",[],"[['Generalized harmonic functions on trees: Universality and frequent universality', 'https://collaborate.princeton.edu/en/publications/generalized-harmonic-functions-on-trees-universality-and-frequent'], ['The full spectrum of random walks on complete finite d-ary trees', 'https://collaborate.princeton.edu/en/publications/the-full-spectrum-of-random-walks-on-complete-finite-d-ary-trees'], ['Cutoff for the Bernoulli-Laplace urn model with o(n) swaps', 'https://collaborate.princeton.edu/en/publications/cutoff-for-the-bernoulli-laplace-urn-model-with-on-swaps'], ['On the mixing time of the Diaconis-Gangolli random walk on contingency tables over Z/qZ', 'https://collaborate.princeton.edu/en/publications/on-the-mixing-time-of-the-diaconis-gangolli-random-walk-on-contin'], ['Cutoff for random to random card shuffle', 'https://collaborate.princeton.edu/en/publications/cutoff-for-random-to-random-card-shuffle']]",2,1,"[['Allan M. Sly', 'https://collaborate.princeton.edu/en/persons/allan-m-sly'], ['Boris Hanin', 'https://collaborate.princeton.edu/en/persons/boris-hanin'], ['Chenyang Xu', 'https://collaborate.princeton.edu/en/persons/chenyang-xu'], ['Charles Louis Fefferman', 'https://collaborate.princeton.edu/en/persons/charles-louis-fefferman'], ['Paul Seymour', 'https://collaborate.princeton.edu/en/persons/paul-douglas-seymour'], ['John Vincent Pardon', 'https://collaborate.princeton.edu/en/persons/john-vincent-pardon']]",N/a,https://collaborate.princeton.edu/en/persons/evita-nestoridi,[]
Ravi Arun Netravali,ravian,COS,"[['Electrooptical effects', '100%'], ['Infrared Image', '94%'], ['Websites', '90%'], ['Servers', '89%'], ['Infrared radiation', '84%'], ['Infrared', '82%'], ['Electro-optics', '79%'], ['electro-optics', '57%']]",[],[],3,1,"[['Karthik Narasimhan', 'https://collaborate.princeton.edu/en/persons/karthik-narasimhan'], ['Alan Kaplan', 'https://collaborate.princeton.edu/en/persons/alan-kaplan'], ['Matt Weinberg', 'https://collaborate.princeton.edu/en/persons/matt-weinberg'], ['Joy S. Marcus', 'https://collaborate.princeton.edu/en/persons/joy-s-marcus'], ['Ryan P. Adams', 'https://collaborate.princeton.edu/en/persons/ryan-p-adams'], ['Andrew Wilson Appel', 'https://collaborate.princeton.edu/en/persons/andrew-wilson-appel']]",N/a,https://collaborate.princeton.edu/en/persons/ravi-arun-netravali,[]
Yael Niv,yael,PSY,"[['Learning', '100%'], ['Psychology Reinforcement', '79%'], ['Reward', '52%'], ['Prefrontal Cortex', '33%'], ['Decision Making', '30%'], ['Dopamine', '21%'], ['Memory', '20%'], ['Dopaminergic Neurons', '16%']]","[['CRCNS US-Israel Research Proposal: Computational Phenotyping of Decision Making in Adolescent Psychopathology', 'https://collaborate.princeton.edu/en/projects/crcns-us-israel-research-proposal-computational-phenotyping-of-de'], ['Decoding the dynamic representation of reward predictions across mesocorticostriatal circuits during learning', 'https://collaborate.princeton.edu/en/projects/decoding-the-dynamic-representation-of-reward-predictions-across-'], ['A Computational Psychiatry Investigation of the effects of Mood on Reward Learning and Attention', 'https://collaborate.princeton.edu/en/projects/a-computational-psychiatry-investigation-of-the-effects-of-mood-o'], ['Quantifying the latent-cause inference process in humans', 'https://collaborate.princeton.edu/en/projects/quantifying-the-latent-cause-inference-process-in-humans'], ['Orbitofrontal Cortex as a Cognitive Map of Task States', 'https://collaborate.princeton.edu/en/projects/orbitofrontal-cortex-as-a-cognitive-map-of-task-states']]","[['A pupillary index of susceptibility to decision biases', 'https://collaborate.princeton.edu/en/publications/a-pupillary-index-of-susceptibility-to-decision-biases'], ['A recurring reproduction error in the administration of the Generalized Anxiety Disorder scale', 'https://collaborate.princeton.edu/en/publications/a-recurring-reproduction-error-in-the-administration-of-the-gener'], ['Biased evaluations emerge from inferring hidden causes', 'https://collaborate.princeton.edu/en/publications/biased-evaluations-emerge-from-inferring-hidden-causes'], ['Signed and unsigned reward prediction errors dynamically enhance learning and memory', 'https://collaborate.princeton.edu/en/publications/signed-and-unsigned-reward-prediction-errors-dynamically-enhance-'], ['The case against economic values in the orbitofrontal cortex (or anywhere else in the brain)', 'https://collaborate.princeton.edu/en/publications/the-case-against-economic-values-in-the-orbitofrontal-cortex-or-a']]",8033,43,"[['Nathaniel Douglass Daw', 'https://collaborate.princeton.edu/en/persons/nathaniel-douglass-daw'], ['Jonathan D. Cohen', 'https://collaborate.princeton.edu/en/persons/jonathan-d-cohen'], ['Ilana Basya Witten', 'https://collaborate.princeton.edu/en/persons/ilana-basya-witten'], ['Diana I. Tamir', 'https://collaborate.princeton.edu/en/persons/diana-i-tamir'], ['Elke U. Weber', 'https://collaborate.princeton.edu/en/persons/elke-u-weber'], ['Carlos D. Brody', 'https://collaborate.princeton.edu/en/persons/carlos-d-brody'], ['David W. Tank', 'https://collaborate.princeton.edu/en/persons/david-w-tank'], ['Catherine Jensen Pena', 'https://collaborate.princeton.edu/en/persons/catherine-jensen-pena'], ['Kenneth Andrew Norman', 'https://collaborate.princeton.edu/en/persons/kenneth-andrew-norman'], ['Tom Griffiths', 'https://collaborate.princeton.edu/en/persons/tom-griffiths'], ['Tania Lombrozo', 'https://collaborate.princeton.edu/en/persons/tania-lombrozo'], ['Uri Hasson', 'https://collaborate.princeton.edu/en/persons/uri-hasson']]",https://collaborate.princeton.edu//files-asset/48147117/Niv.jpg,https://collaborate.princeton.edu/en/persons/yael-niv,[]
Kelly Noonan,knoonan,ECO,"[['Infant Health', '100%'], ['Child health', '90%'], ['Child Health', '87%'], ['Parturition', '69%'], ['Child', '67%'], ['health', '56%'], ['Social Capital', '51%'], ['Mothers', '50%']]",[],"[['Low Birth Weight and Psychoeducational Outcomes: Investigation of an African American Birth Cohort', 'https://collaborate.princeton.edu/en/publications/low-birth-weight-and-psychoeducational-outcomes-investigation-of-'], ['School and Community Involvement of Adolescents With Chronic Health Conditions', 'https://collaborate.princeton.edu/en/publications/school-and-community-involvement-of-adolescents-with-chronic-heal'], ['Infant Health and Future Childhood Adversity', 'https://collaborate.princeton.edu/en/publications/infant-health-and-future-childhood-adversity'], [""Housing Instability and Children's Health Insurance Gaps"", 'https://collaborate.princeton.edu/en/publications/housing-instability-and-childrens-health-insurance-gaps']]",681,15,"[['Pablo D. Fajgelbaum', 'https://collaborate.princeton.edu/en/persons/pablo-d-fajgelbaum'], ['Caio Ibsen Rodrigues de Almeida', 'https://collaborate.princeton.edu/en/persons/caio-ibsen-rodrigues-de-almeida'], ['Nicholas Wyeth Buchholz', 'https://collaborate.princeton.edu/en/persons/nicholas-wyeth-buchholz'], ['Arlene Wong', 'https://collaborate.princeton.edu/en/persons/arlene-wong'], ['Christopher A. Neilson', 'https://collaborate.princeton.edu/en/persons/christopher-a-neilson'], ['Kate Ho', 'https://collaborate.princeton.edu/en/persons/kate-ho']]",N/a,https://collaborate.princeton.edu/en/persons/kelly-noonan,[]
Guy J.P. Nordenson,gjpn,CEE,"[['Museums', '100%'], ['Glass', '41%'], ['Earthquakes', '39%'], ['Hazards', '37%'], ['Structural design', '35%'], ['Seismic design', '35%'], ['earthquakes', '34%'], ['Estuaries', '31%']]",[],"[['Urban tinkering', 'https://collaborate.princeton.edu/en/publications/urban-tinkering'], ['Superstructure of the National Museum of African American history and culture', 'https://collaborate.princeton.edu/en/publications/superstructure-of-the-national-museum-of-african-american-history'], ['New york city panel on climate change 2015 report chapter 3: Static coastal flood mapping', 'https://collaborate.princeton.edu/en/publications/new-york-city-panel-on-climate-change-2015-report-chapter-3-stati']]",101,5,"[['Sigrid M. Adriaenssens', 'https://collaborate.princeton.edu/en/persons/sigrid-m-adriaenssens'], ['Ning Lin', 'https://collaborate.princeton.edu/en/persons/ning-lin'], ['Maria Eugenia Moreyra Garlock', 'https://collaborate.princeton.edu/en/persons/maria-eugenia-moreyra-garlock'], ['Bess Ward', 'https://collaborate.princeton.edu/en/persons/bess-ward'], ['Gerard Wysocki', 'https://collaborate.princeton.edu/en/persons/gerard-wysocki'], ['Elie R. Bou-Zeid', 'https://collaborate.princeton.edu/en/persons/elie-r-bou-zeid']]",N/a,https://collaborate.princeton.edu/en/persons/guy-jp-nordenson,[]
